,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
0,Chan Sung Jung,Frankie Edgar,46,9,0,0,0,0,Featherweight,KO/TKO  Punches,2,3:18,1
1,Volkan Oezdemir,Aleksandar Rakic,63,75,0,1,0,1,Light Heavyweight,S-DEC,1,5:00,3
2,Charles Jourdain,Dooho Choi,64,42,0,0,0,0,Featherweight,KO/TKO  Punches,2,4:32,2
3,Da-Un Jung,Mike Rodriguez,5,4,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,1:04,1
4,Junyong Park,Marc-Andre Barriault,77,51,5,0,0,0,Middleweight,U-DEC,1,5:00,3
5,Kyung Ho Kang,Liu Pingyuan,20,25,3,0,0,0,Bantamweight,S-DEC,1,5:00,3
6,Ciryl Gane,Tanner Boser,65,32,0,0,0,0,Heavyweight,U-DEC,1,5:00,3
7,SeungWoo Choi,Suman Mokhtarian,95,33,0,0,0,0,Featherweight,U-DEC,1,5:00,3
8,Omar Morales,Dong Hyun Ma,32,15,1,0,0,0,Lightweight,U-DEC,1,5:00,3
9,Alexandre Pantoja,Matt Schnell,34,20,1,0,0,0,Flyweight,KO/TKO  Punch,2,4:17,1
10,Raoni Barcelos,Said Nurmagomedov,42,55,2,0,0,0,Bantamweight,U-DEC,1,5:00,3
11,Amanda Lemos,Miranda Granger,8,4,1,0,1,0,Women's Strawweight,SUB  Rear Naked Choke,3,3:43,1
12,Heili Alateng,Ryan Benoit,47,68,4,0,0,0,Bantamweight,S-DEC,1,5:00,3
0,Kamaru Usman,Colby Covington,175,143,0,0,0,0,Welterweight,KO/TKO  Punch,2,4:10,5
1,Alexander Volkanovski,Max Holloway,157,134,0,0,0,0,Featherweight,U-DEC,1,5:00,5
2,Amanda Nunes,Germaine de Randamie,79,40,8,0,2,1,Women's Bantamweight,U-DEC,1,5:00,5
3,Marlon Moraes,Jose Aldo,59,58,1,0,0,0,Bantamweight,S-DEC,1,5:00,3
4,Petr Yan,Urijah Faber,54,18,2,0,0,0,Bantamweight,KO/TKO  Kick,2,0:43,3
5,Geoff Neal,Mike Perry,15,5,0,0,0,0,Welterweight,KO/TKO  Punches,2,1:30,1
6,Irene Aldana,Ketlen Vieira,26,20,0,0,0,0,Women's Bantamweight,KO/TKO  Punch,2,4:51,1
7,Omari Akhmedov,Ian Heinisch,55,53,2,3,0,0,Middleweight,U-DEC,1,5:00,3
8,Matt Brown,Ben Saunders,30,12,2,0,0,4,Welterweight,KO/TKO  Punches,2,4:55,2
9,Chase Hooper,Daniel Teymur,20,2,1,0,2,1,Featherweight,KO/TKO  Elbows,2,4:34,1
10,Brandon Moreno,Kai Kara-France,91,82,0,0,0,0,Flyweight,U-DEC,1,5:00,3
11,Jessica Eye,Viviane Araujo,98,56,0,2,0,0,Women's Flyweight,U-DEC,1,5:00,3
12,Punahele Soriano,Oskar Piechota,26,8,1,0,0,0,Middleweight,KO/TKO  Punch,2,3:17,1
0,Jairzinho Rozenstruik,Alistair Overeem,89,74,0,2,0,0,Heavyweight,KO/TKO  Punch,2,4:56,5
1,Marina Rodriguez,Cynthia Calvillo,56,78,0,3,0,0,Women's Strawweight,M-DEC,1,5:00,3
2,Ben Rothwell,Stefan Struve,58,53,0,0,0,0,Heavyweight,KO/TKO  Punches,2,4:57,2
3,Aspen Ladd,Yana Kunitskaya,47,47,2,0,0,0,Women's Bantamweight,KO/TKO  Punches,2,0:33,3
4,Cody Stamann,Song Yadong,41,30,5,0,0,0,Bantamweight,M-DEC,1,5:00,3
5,Rob Font,Ricky Simon,90,59,1,6,0,0,Bantamweight,U-DEC,1,5:00,3
6,Tim Means,Thiago Alves,23,13,0,0,1,0,Welterweight,SUB  Guillotine Choke,3,2:38,1
7,Billy Quarantillo,Jacob Kilburn,74,3,1,0,5,0,Featherweight,SUB  Triangle Choke,3,3:18,2
8,Bryce Mitchell,Matt Sayles,6,2,1,0,1,0,Featherweight,SUB  Other,3,4:20,1
9,Joe Solecki,Matt Wiman,56,10,4,0,0,0,Lightweight,U-DEC,1,5:00,3
10,Virna Jandiroba,Mallory Martin,7,9,3,0,3,0,Women's Strawweight,SUB  Rear Naked Choke,3,1:16,2
11,Makhmud Muradov,Trevor Smith,91,39,1,0,1,0,Middleweight,KO/TKO  Punch,2,4:09,3
0,Jan Blachowicz,Jacare Souza,71,20,0,0,0,0,Light Heavyweight,S-DEC,1,5:00,5
1,Mauricio Rua,Paul Craig,25,51,1,1,0,1,Light Heavyweight,S-DEC,1,5:00,3
2,Charles Oliveira,Jared Gordon,10,7,0,0,0,0,Lightweight,KO/TKO  Punch,2,1:26,1
3,Andre Muniz,Antonio Arroyo,22,29,3,1,2,0,Middleweight,U-DEC,1,5:00,3
4,Wellington Turman,Markus Perez,48,49,2,0,0,0,Middleweight,U-DEC,1,5:00,3
5,James Krause,Sergio Moraes,102,41,0,1,0,0,Welterweight,KO/TKO  Punch,2,4:19,3
6,Ricardo Ramos,Eduardo Garagorri,10,6,2,0,1,0,Featherweight,SUB  Rear Naked Choke,3,3:57,1
7,Francisco Trinaldo,Bobby Green,31,50,1,2,1,0,Lightweight,U-DEC,1,5:00,3
8,Randy Brown,Warlley Alves,16,3,1,3,1,2,Welterweight,SUB  Triangle Choke,3,1:22,2
9,Douglas Silva de Andrade,Renan Barao,74,58,0,2,0,0,Featherweight,U-DEC,1,5:00,3
10,Ariane Lipski,Isabela de Padua,31,15,0,2,1,1,Women's Flyweight,U-DEC,1,5:00,3
11,Tracy Cortez,Vanessa Melo,79,40,2,0,0,0,Women's Bantamweight,U-DEC,1,5:00,3
0,Zabit Magomedsharipov,Calvin Kattar,96,80,1,0,0,0,Featherweight,U-DEC,1,5:00,3
1,Alexander Volkov,Greg Hardy,86,46,0,0,0,0,Heavyweight,U-DEC,1,5:00,3
2,Danny Roberts,Zelim Imadaev,37,28,1,1,0,0,Welterweight,KO/TKO  Punch,2,4:54,2
3,Ed Herman,Khadis Ibragimov,81,53,0,2,0,0,Light Heavyweight,U-DEC,1,5:00,3
4,Anthony Rocco Martin,Ramazan Emeev,41,30,0,0,2,0,Welterweight,U-DEC,1,5:00,3
5,Shamil Gamzatov,Klidson Abreu,64,32,0,1,0,0,Light Heavyweight,S-DEC,1,5:00,3
6,Magomed Ankalaev,Dalcha Lungiambula,44,6,1,0,0,0,Light Heavyweight,KO/TKO  Kick,2,0:29,3
7,Rustam Khabilov,Sergey Khandozhko,12,25,4,0,0,0,Welterweight,U-DEC,1,5:00,3
8,Karl Roberson,Roman Kopylov,43,37,1,0,1,0,Middleweight,SUB  Rear Naked Choke,3,4:01,3
9,David Zawada,Abubakar Nurmagomedov,2,4,0,1,2,0,Welterweight,SUB  Triangle Choke,3,2:50,1
10,Roosevelt Roberts,Alexander Yakovlev,28,20,0,3,0,0,Lightweight,U-DEC,1,5:00,3
11,Pannie Kianzad,Jessica-Rose Clark,98,65,0,0,0,0,Women's Bantamweight,U-DEC,1,5:00,3
12,Davey Grant,Grigorii Popov,30,35,6,0,0,0,Bantamweight,S-DEC,1,5:00,3
0,Jorge Masvidal,Nate Diaz,112,43,1,0,0,0,Welterweight,KO/TKO,2,5:00,3
1,Darren Till,Kelvin Gastelum,36,40,1,1,0,0,Middleweight,S-DEC,1,5:00,3
2,Stephen Thompson,Vicente Luque,138,77,0,0,0,0,Welterweight,U-DEC,1,5:00,3
3,Derrick Lewis,Blagoy Ivanov,31,20,1,3,0,1,Heavyweight,S-DEC,1,5:00,3
4,Kevin Lee,Gregor Gillespie,21,9,0,0,0,0,Lightweight,KO/TKO  Kick,2,2:47,1
